id,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes,title_embedding,average_degree_centrality,imdb_score_binned
607,Jason Eisener,272,86,59,104,Robb Wells,694,703002,Action|Comedy|Thriller,Gregory Smith,Hobo with a Shotgun ,37495,1249,Molly Dunsworth,4,hobo|pedophile|rampage|shotgun|vigilante,230,English,Canada,Not Rated,2011,324,37000,"[-2.1999832e-03  1.6877509e-03 -4.9528811e-04  3.4510393e-03
  4.6714014e-04 -3.1112947e-03  5.8664102e-04  1.9384641e-03
  4.8999768e-04  1.2845730e-03 -8.2516536e-04  5.3048762e-04
  3.3705852e-03  1.3618843e-03 -4.9731403e-04 -1.3979510e-03
 -1.5178301e-03  7.9785311e-04 -7.7091454e-04 -1.0496329e-03
 -8.5542310e-04 -1.6115842e-03  6.6927582e-04  6.3080672e-04
 -3.6110349e-03 -3.8358001e-03 -1.2089179e-03  1.9013129e-04
 -4.6307250e-05 -3.1747953e-03  1.8217305e-03 -9.7916252e-04
  4.3942519e-03 -1.3388467e-03  7.2444673e-04  5.4382225e-03
  6.4464362e-04  7.4448547e-04  2.1063478e-03 -2.5105153e-03
  3.6045972e-03 -4.0174997e-03 -1.2899323e-03 -1.1663891e-03
 -1.6440530e-03 -7.0960040e-04 -1.5358105e-03  1.4253649e-03
  1.4280153e-03  2.5326940e-03 -2.4446470e-03  4.2656323e-04
  3.0497366e-03 -2.0516473e-03  1.5751075e-04  6.9186289e-04
  2.5774573e-03 -2.3052993e-03  7.4470200e-04 -2.1644917e-03
 -9.1920543e-04 -5.9948856e-04  7.9387578e-04  2.8361683e-08
 -8.8964356e-04  2.4044816e-03  7.6992274e-04 -1.4650946e-03
 -2.5025422e-03 -1.0945223e-04 -2.4406388e-03 -1.1706438e-03
 -4.4901361e-05 -5.0312921e-04 -2.2728438e-03  3.1305777e-04
 -2.9500918e-03 -7.0800749e-04 -2.7757781e-03  1.5822226e-03
  1.8537741e-03 -1.3511525e-03 -1.9363301e-04  2.7246386e-04
 -5.8004016e-04 -3.6313257e-03  3.5054178e-03 -8.3316769e-04
 -9.3201851e-04  5.3786696e-04  2.3318264e-03  3.3625932e-03
  8.1044977e-04  4.2122827e-04 -2.0137897e-03  1.7193358e-03
  1.4670733e-03  1.0746816e-03 -8.1336912e-05 -3.4765727e-03]",0.000525289,2
608,James McTeigue,265,110,160,427,Dave Legeno,771,16005978,Crime|Mystery|Thriller,Pam Ferris,The Raven ,72886,2356,Kevin McNally,1,mask|murder|newspaper|poem|serial killer,190,English,USA,R,2012,570,35000,"[-4.59320378e-03  2.10809289e-03  1.15232833e-03  2.14687269e-03
  8.28909862e-04 -4.50498797e-03 -1.10355846e-04  1.28854765e-03
  1.31106214e-03 -2.68702023e-03 -3.00475257e-03  1.00105559e-03
 -7.90619175e-04  2.59378226e-03 -2.02308455e-03 -1.31710176e-03
  1.24410726e-03  1.63564773e-03 -1.91271980e-03 -3.59364832e-03
 -2.56868545e-03 -2.98619759e-03  8.38380656e-05  4.77485731e-03
 -6.61865249e-03 -6.05466682e-03 -2.46323482e-03 -5.42268332e-04
 -8.42340523e-05 -3.06605501e-03  9.02172760e-04 -4.04324755e-03
  4.44028992e-03 -7.63179781e-03 -3.25535471e-03  9.21365898e-03
  6.38592988e-04 -3.37962410e-05  2.74806749e-03 -1.32074393e-03
  7.24603655e-03 -5.04497532e-03 -2.56668963e-03 -3.24548525e-03
 -3.50996293e-03 -4.39175963e-03 -6.98677613e-04  4.16462263e-03
  7.94139807e-04  4.14530840e-03 -3.66919581e-03 -4.71406663e-03
  7.44558219e-03 -5.51702222e-03 -1.58359285e-03 -3.03997169e-03
  6.23273570e-03 -5.89295616e-03  9.29953763e-04  2.23867269e-03
  1.45533576e-03 -2.15741387e-03 -2.03464250e-03  4.31434368e-04
 -1.45226135e-03  6.24690903e-03  4.97999880e-03 -1.89426262e-03
  2.60783546e-03  4.21213964e-03 -2.27569323e-03 -9.46839806e-04
 -2.75724987e-03 -4.56796866e-03 -2.02747015e-03  5.25228214e-04
 -5.79598011e-04 -7.87924859e-04 -4.37730970e-03  9.29183967e-04
  1.12277607e-03 -2.80134636e-03 -3.19740339e-03  5.78623090e-04
 -3.59197799e-03 -8.68446846e-03  1.03817601e-02  1.63083430e-03
  1.39841461e-04 -1.48199848e-03  4.84660733e-03  5.63206291e-03
  2.46498990e-03  1.21865212e-03 -6.93557179e-03  1.75466586e-03
  5.62242046e-03  6.43074978e-04 -3.26987635e-03 -6.23715110e-03]",0.00060033,2
609,Steven Soderbergh,198,125,0,350,Julia Roberts,11000,125531634,Crime|Thriller,Brad Pitt,Ocean's Twelve ,284852,19359,Mini Anden,0,father daughter relationship|heist|pretending to be pregnant|sequel|thief,627,English,USA,PG-13,2004,8000,0,"[ 1.0242843e-04 -1.1811848e-03  7.5667264e-04 -7.3014235e-04
  1.2256217e-03 -5.0013035e-04  2.1678058e-04 -1.2547107e-03
  3.5796507e-04 -7.9432601e-04  3.8441017e-04  4.7501235e-04
  2.8657596e-04 -4.6466730e-04  2.8889749e-04  4.0325293e-04
 -7.2882854e-04  1.8548933e-05 -1.5366608e-03 -4.4440822e-04
  7.9600100e-04 -3.8912616e-04  6.7475595e-04 -7.5670140e-04
 -1.0707299e-03 -1.1620414e-03  7.0361144e-05  2.5410537e-04
 -1.6386681e-03 -1.8270632e-04  4.0047744e-06  5.1189004e-04
  2.3760763e-04 -2.6167833e-04 -8.9707470e-04  2.0074337e-03
  6.9286564e-04  3.5592192e-04  8.1690087e-06  1.8791038e-04
  2.0757578e-03 -1.3284308e-03 -6.6780590e-04  1.1976580e-03
 -5.7172845e-04  7.8868651e-04 -2.3197243e-04 -6.1486533e-04
  2.3032367e-04  1.1568540e-04 -1.6962830e-04 -1.9245890e-03
  1.3231083e-03 -8.7870989e-04 -3.9049843e-05 -9.6765172e-04
 -6.2679511e-04  3.8467994e-04 -1.9926581e-04 -1.9435202e-03
 -3.6755617e-04 -6.6194625e-05  1.2609296e-03 -2.2209852e-04
 -8.3310029e-04  2.8078802e-04 -9.3783077e-04 -4.4146756e-04
  1.2982830e-03  2.2097159e-04 -7.5768866e-04  1.6001347e-03
 -2.2539939e-03 -5.5096066e-04 -6.1546965e-04 -6.2403316e-04
  3.4234053e-04 -2.0797357e-03 -4.0490623e-04  3.9640587e-04
  1.4686714e-03  7.6232076e-04 -1.8344972e-03  2.8077626e-04
 -3.2731786e-04 -7.3364563e-04  7.5659825e-04 -1.2076710e-04
  2.8299491e-04 -4.0145524e-04  7.1157934e-04  6.3589064e-04
  1.1361708e-03 -9.5629133e-05 -7.8395708e-05  4.8090966e-04
 -7.5607380e-04  1.8739796e-04 -3.7643520e-04 -1.4310803e-03]",0.004952724,2
610,Joel Schumacher,71,149,541,1000,Matthew McConaughey,18000,108706165,Crime|Drama|Thriller,Kevin Spacey,A Time to Kill ,99558,31349,Oliver Platt,3,african american|court|law|mississippi|trial,236,English,USA,R,1996,11000,0,"[-1.7546924e-03  6.6400226e-04  1.9972038e-03  2.4214182e-03
  1.4738000e-03 -1.3495273e-04  7.2226016e-05  6.7567697e-04
  1.6417282e-03 -1.9568619e-03 -8.8405411e-04 -5.3328811e-05
  5.9330702e-04  1.0817575e-03 -3.3150141e-03 -2.8664260e-03
  2.3018967e-04  3.0545215e-03 -1.6635485e-03 -3.2493952e-03
 -1.0166416e-03 -2.8054675e-03 -1.7669103e-03  7.8575377e-04
 -3.7547217e-03 -1.0939857e-03 -1.4278291e-03 -9.0638979e-04
  1.9850449e-03 -9.0847025e-05  1.7278057e-03 -5.9811497e-04
  2.5293205e-03 -2.9044526e-03 -7.5879914e-05  5.4909177e-03
 -2.3995221e-03 -6.8050064e-04 -5.6022673e-04 -3.7269164e-03
  7.2991801e-03 -4.0075933e-03  3.4509299e-04 -3.7479072e-03
  4.3145480e-04 -6.4443279e-04 -2.5519703e-03  4.8287259e-04
  1.5571631e-03  3.4863986e-03 -4.2802086e-03 -4.1165319e-03
  4.6706735e-03 -1.7605769e-03 -9.7813061e-04 -2.0751343e-03
  3.4817653e-03 -3.9947494e-03 -1.8211355e-03 -3.1733129e-05
  3.0004054e-03 -2.6818755e-04  3.5077415e-03  1.3455990e-03
  6.2192732e-04  3.1593731e-03  7.1366801e-04 -1.7034909e-03
 -1.2481378e-03  1.8682389e-03  1.9380695e-03  7.5648306e-05
 -2.2512919e-05 -2.8309324e-03 -8.6460798e-04  7.4519333e-04
  6.5148273e-04 -6.5634557e-04 -3.2757991e-03  2.8677909e-03
  9.1944390e-04 -2.7625524e-03 -3.2421271e-03 -1.0224727e-03
 -1.2725929e-03 -5.0931843e-03  5.7864594e-03  2.2335842e-03
 -4.3972948e-04 -9.3095133e-04  2.5608158e-03  1.8185945e-03
  9.2457992e-04  8.2463550e-04 -3.5269957e-03  1.4156061e-03
  3.5971655e-03  1.8858835e-03 -1.4392806e-03 -3.5169604e-03]",0.005252889,3
611,Wes Craven,256,101,0,574,Lin Shaye,40000,26505000,Horror,Johnny Depp,A Nightmare on Elm Street ,149285,42918,Amanda Wyss,1,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,668,English,USA,X,1984,852,10000,"[-2.0879167e-03  2.4357277e-03  1.2159452e-03  2.2492928e-03
  1.1220875e-03 -1.3429046e-03  2.9279594e-04  8.9732837e-04
  2.7179443e-03 -8.6072349e-04 -2.1667168e-03 -5.6881504e-04
 -1.3394174e-04  4.8809749e-04 -7.4257836e-04 -2.2259927e-03
  1.3027590e-03  1.4531361e-03  8.5823331e-04 -3.5203814e-03
 -5.7426089e-04 -4.7312146e-03  1.5167252e-03  1.5490942e-03
 -2.0275738e-03 -9.4735419e-04 -2.5768396e-03 -2.1861068e-03
  1.2313813e-03 -1.6323986e-03  1.9399251e-03 -6.5975898e-04
  2.9059208e-03 -3.6741090e-03 -8.9976133e-04  6.9170236e-03
 -1.9972040e-03  2.2277664e-04  5.1021994e-05 -3.1294082e-03
  5.6629428e-03 -3.7256596e-03 -3.1747390e-04 -3.5737481e-03
  8.6778263e-04 -1.5484522e-03 -2.4694093e-03 -5.5429526e-04
  1.0424808e-03  3.3903210e-03 -4.0237777e-04 -5.4471325e-03
  5.1669609e-03  5.6994770e-05 -1.1290122e-03 -2.3787478e-03
  3.5996926e-03 -4.5737973e-03 -2.4488614e-05 -1.7305143e-03
  1.8826909e-03  6.9836108e-04  2.6708693e-04  1.1346390e-03
  9.2694600e-04  1.6511262e-03  2.5946265e-03 -1.6580112e-03
  4.9657778e-05  2.2598777e-03 -6.0167647e-04 -3.9061677e-04
 -1.5218414e-03 -2.5388454e-03 -8.3362561e-04  6.3911371e-04
  5.3439151e-05 -9.5668284e-04 -2.9884926e-03 -2.4958965e-04
  2.3844196e-03 -2.0471127e-03 -1.7907883e-03 -3.6739209e-04
 -6.7507767e-04 -4.6845609e-03  5.5149915e-03  1.4448896e-03
 -7.3336868e-04 -1.4712580e-03  3.4237292e-03  3.6967336e-03
  1.3784893e-03  1.0316629e-03 -5.2216877e-03  2.0005458e-04
  5.3947880e-03 -5.2924926e-04 -3.8842398e-03 -3.9852527e-03]",0.003902146,3
612,Rob Schmidt,191,84,36,648,Lindy Booth,2000,15417771,Horror|Thriller,Kevin Zegers,Wrong Turn ,87494,3416,Julian Richings,1,forest|mountain|road|stupid victim|west virginia,540,English,USA,R,2003,683,0,"[-2.54160864e-03  8.89688963e-05  7.14574475e-04  7.60859810e-04
  2.23170361e-03  3.06036440e-04  1.47339480e-04  1.08189764e-04
 -5.67824463e-04 -4.55652480e-04 -9.04630579e-04 -1.19923265e-03
  1.30290526e-03  4.68775921e-04  1.30156521e-03 -1.50220678e-03
 -5.05806645e-04 -1.20537984e-03  5.72021469e-04 -1.65534543e-03
 -9.93314607e-05 -3.74202238e-04 -1.24420191e-03  2.14790786e-03
 -2.42553884e-03 -1.12536468e-03 -5.98693441e-04 -3.95178620e-04
 -6.03558263e-04 -2.02309340e-03  9.92007321e-04  1.27721360e-04
  2.70327227e-03 -1.53872161e-03 -9.79620498e-04  1.81469775e-04
 -1.23684038e-03  1.08312932e-04  6.73960894e-04 -1.15791289e-03
  1.07436767e-03 -2.61634751e-03 -5.34803898e-04 -2.17121583e-03
  1.06759160e-03 -6.38577912e-04 -2.22887076e-03 -8.71449709e-04
  6.72912283e-04  3.86924390e-03  1.36853289e-03 -2.03937455e-03
  1.98669790e-04  5.66129922e-04 -1.19040709e-03  4.71363077e-04
 -5.90210606e-04  1.78471569e-03  6.20270148e-04  2.38390712e-04
  1.30145915e-03  1.00484735e-03 -1.61156990e-03  3.87295207e-04
 -1.70299737e-03  1.25752133e-03  3.65772611e-03  5.61553286e-04
  8.92894866e-04  1.68423937e-03 -6.94008602e-04 -7.54875364e-05
  1.66486076e-04 -5.31055441e-04 -5.64520946e-04 -1.92849722e-04
 -1.53218233e-03 -6.96255302e-05 -1.16432214e-03  1.48702040e-03
  9.24068096e-04  6.42678526e-04  8.79854255e-04 -5.15963184e-05
 -9.64980107e-04  7.53746135e-04  1.62387663e-03  6.69802888e-04
 -5.49102260e-05 -6.11344702e-04  1.22574857e-03  4.82141913e-04
 -8.60565575e-04 -3.91117355e-04 -8.84012901e-04  1.21528326e-04
  2.08550994e-03 -2.48372380e-04  8.44961964e-04 -5.47556592e-05]",0.000675371,2
613,Carroll Ballard,38,100,19,393,Hope Davis,706,860002,Adventure|Drama|Family,Eamonn Walker,Duma ,6454,1579,Campbell Scott,0,africa|bed|boy|cheetah|south africa,43,English,USA,PG,2005,442,0,"[ 1.6117054e-04 -3.3281371e-03  5.4197671e-04 -3.3843191e-03
 -4.5055514e-03 -5.1016235e-03 -1.8303867e-03  2.6095686e-03
  2.0817043e-03  2.4574073e-03 -5.9575378e-04  1.9775794e-03
  1.2947111e-03 -5.3712068e-04  3.2126697e-04  4.5682059e-04
  1.2828541e-03 -8.4948516e-04  3.0004752e-03  5.3938065e-04
 -2.5869799e-03 -7.5010065e-04  5.0233671e-04 -2.7565903e-03
  9.0472470e-04 -4.2531276e-03 -7.5898541e-04  1.8553738e-03
 -1.4153760e-03  6.5394088e-05  3.5348791e-04 -2.3780455e-04
 -3.2095893e-03 -6.1844854e-04  1.2884511e-03 -1.6492057e-03
  3.4797930e-03 -8.9414662e-04  1.2839079e-03 -2.1091315e-03
  2.1642614e-03 -4.4430161e-04 -5.0093542e-04 -9.5405488e-04
 -7.1677699e-04  3.3357353e-03  2.8556599e-03 -1.1919058e-03
 -1.5097010e-03  1.4299593e-03  7.4247125e-04 -3.0231483e-03
 -4.2445899e-04 -1.2188580e-04 -6.2698076e-05 -1.2003843e-03
  2.3734206e-03 -4.4081067e-03  2.8372428e-03  1.3305041e-03
  2.6389618e-05 -2.7144852e-03 -1.2069116e-03  2.3571518e-03
  3.2826114e-04 -4.6314561e-04 -3.5561062e-03  6.4735260e-04
 -3.1530121e-03 -2.1065297e-03  8.3565968e-04 -9.9453551e-04
  1.7925295e-03 -7.2259812e-05 -7.7707006e-04 -3.0614843e-04
  1.7057173e-03 -1.2246338e-03 -7.5191353e-04 -1.2860713e-03
  7.9072302e-04 -1.2955273e-03 -3.0178463e-04 -5.7930953e-04
 -1.2284830e-03 -4.1475490e-04 -7.9427991e-04 -8.1152731e-04
  1.8883654e-03  2.8333001e-04 -1.7797254e-03 -2.2535525e-04
  1.8319666e-03 -4.2217085e-05 -3.0363710e-03  2.9209158e-03
  4.7971436e-04 -4.7352689e-04  1.1818972e-03  2.0668991e-03]",0.000525289,3
614,Francis Ford Coppola,149,220,0,3000,Al Pacino,22000,57300000,Crime|Drama,Robert De Niro,The Godfather: Part II ,790926,39960,Robert Duvall,1,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,650,English,USA,R,1974,14000,14000,"[-2.5407136e-03  3.8096060e-03  1.7734493e-04  2.1202993e-03
  1.8090275e-03 -3.6274225e-03  2.0500571e-03 -5.7618978e-04
  1.3533987e-03 -3.8741139e-04 -9.5031562e-04 -1.6537535e-03
 -1.7850213e-03  1.3487898e-03 -1.7962228e-03 -2.6894272e-03
  4.7382931e-04  3.3883960e-04 -1.0273673e-03 -1.0570245e-03
 -6.8893575e-04 -3.0876896e-03  9.2227629e-04  4.5094257e-03
 -5.9427684e-03 -2.6471277e-03 -3.1333147e-03 -1.0716990e-03
 -1.4011923e-03 -1.8200928e-03  4.9622863e-04 -3.9608106e-03
  2.1848413e-03 -6.9965674e-03 -1.5753999e-03  6.5847775e-03
  3.4071252e-04  9.9942309e-04  2.0906702e-03 -1.6953603e-03
  4.7961767e-03 -4.9375608e-03 -3.0869429e-03 -2.0239381e-03
 -2.0417017e-03 -1.1455710e-03 -1.1112519e-03  3.8094020e-03
 -1.6783958e-04  4.7903517e-03 -3.0466677e-03 -5.0673569e-03
  7.4098818e-03 -4.5745429e-03 -9.4811828e-04 -1.5904437e-03
  4.5242039e-03 -3.7566663e-03 -3.9029837e-04  5.6759838e-04
  2.1435071e-03  7.1492308e-04 -1.4615521e-03  1.2672334e-03
 -9.5632719e-04  2.8808021e-03  1.7152078e-03 -1.2816045e-03
  1.3843894e-03  3.0408995e-03 -7.5831602e-04 -4.7859331e-04
 -7.1440224e-04 -4.0604454e-03 -1.7080996e-03 -1.7623650e-03
 -1.6894263e-03 -1.5128898e-03 -3.6749020e-03 -2.9281457e-04
  1.8550822e-04 -7.3523290e-04 -2.1151204e-03  1.1994734e-03
 -1.3962091e-03 -6.9537750e-03  6.9678156e-03  1.6091246e-03
  2.1676868e-05 -1.0181802e-03  4.1647386e-03  4.1124900e-03
  1.5725790e-03 -9.2883571e-04 -6.0970029e-03  3.2720985e-03
  4.3037646e-03  1.9563886e-03 -1.9099126e-03 -6.1410870e-03]",0.005027765,4
615,Bo Welch,109,82,34,434,Kelly Preston,760,100446895,Adventure|Comedy|Family|Fantasy,Sean Hayes,The Cat in the Hat ,36033,2762,Spencer Breslin,1,based on cult comic book|cat|home alone|imagination|talking cat,456,English,USA,PG,2003,743,946,"[-5.7664663e-03  4.3292744e-03 -9.1583689e-04  1.1222253e-03
  3.9813370e-03 -2.6257006e-03  2.4816318e-04  4.0557263e-03
  1.0932174e-03  2.0862123e-04 -1.4636442e-03 -4.2931737e-05
  3.5168185e-05  2.9981281e-03 -1.8684830e-03 -3.9942390e-03
  2.5961665e-04  3.0862185e-04 -1.1809851e-03 -4.2095850e-03
 -2.0584778e-03 -5.1368796e-03 -1.4617618e-03  3.1451634e-03
 -6.7102476e-03 -3.4593877e-03 -1.1710708e-03 -3.8577043e-04
 -1.9112502e-03 -1.4217162e-03  2.5920832e-04 -2.5261038e-03
  5.1363278e-03 -7.1234880e-03 -1.6293216e-03  7.4557527e-03
  1.0944143e-03 -5.4199703e-04  2.2055302e-03 -2.5597278e-03
  8.9224782e-03 -6.5024579e-03 -3.1062448e-03 -3.2882928e-03
 -2.0793539e-03 -3.0326820e-03 -4.4459379e-03  2.2898812e-03
  1.2291237e-03  3.2392859e-03 -2.0503916e-03 -3.5149693e-03
  9.8287556e-03 -6.4323754e-03 -2.2856554e-03 -1.6250924e-03
  6.3157231e-03 -6.9744559e-03  1.4930837e-04 -2.1661297e-04
  3.1786077e-03 -1.2623405e-04 -1.6244904e-03  1.9696099e-03
 -2.4706643e-04  6.0572317e-03  3.6763246e-03 -1.7505189e-03
  1.9814980e-03  4.2082276e-03 -1.9249709e-03 -1.9535399e-03
 -1.7771845e-03 -5.0027696e-03 -1.2593057e-03  3.7801317e-03
 -1.0755649e-03 -8.2620747e-05 -3.1749583e-03 -1.4792578e-04
  2.4729662e-03 -3.8747867e-03 -5.0593587e-03 -1.9854060e-03
 -2.2385570e-03 -8.3516734e-03  1.0033978e-02  1.2040994e-03
 -5.3607055e-04 -2.5046917e-03  5.8951802e-03  2.6560172e-03
  3.0602238e-03  7.4147852e-04 -7.0395493e-03  1.8833369e-03
  6.6020214e-03 -1.9723570e-03 -4.1859178e-03 -6.4918315e-03]",0.000975537,1
616,John Pasquin,64,97,11,595,Eric Lloyd,901,144833357,Comedy|Drama|Family|Fantasy,Judge Reinhold,The Santa Clause ,64742,2790,Peter Boyle,0,1990s|christmas|christmas eve|sleigh|surrealism,111,English,USA,PG,1994,775,0,"[-3.5563766e-03  1.3599188e-04  1.4087356e-03  1.1810242e-03
  5.9833674e-04 -2.6717421e-03  2.8989287e-04  2.2445661e-03
  9.2109735e-04 -1.9191274e-03 -1.5707709e-03  5.4045743e-04
 -9.9440607e-05  1.5056190e-03 -2.0445536e-03 -2.4355773e-03
  9.1087661e-04  8.9139846e-04 -1.2980825e-03 -3.3820283e-03
 -9.0560311e-04 -2.1488834e-03 -6.4225482e-05  2.8218732e-03
 -4.1082269e-03 -2.5627806e-03 -1.6115978e-03  4.4479981e-04
  5.7237217e-04 -9.3448447e-04  5.1579799e-04 -2.5313788e-03
  2.6048662e-03 -5.0008311e-03 -2.0442272e-03  6.0399808e-03
  2.0403368e-03 -3.7150388e-05  2.3173790e-03 -1.2854374e-03
  5.8186799e-03 -5.1470227e-03 -9.3614141e-04 -2.2963202e-03
 -2.1496734e-03 -2.9109188e-03 -2.1943897e-03  2.5128780e-03
  1.3186674e-03  2.5569682e-03 -2.7372262e-03 -3.5886716e-03
  4.9164090e-03 -2.3953402e-03  1.3404054e-03 -2.0242746e-03
  3.5682730e-03 -2.9665006e-03  8.6238451e-04  1.1933174e-03
  9.7363576e-04  6.7627383e-04 -1.2285550e-03  1.0481816e-03
 -7.5424014e-04  4.5739370e-03  2.5787828e-03 -2.0553500e-03
  1.6835979e-03  2.1520334e-03 -1.8467462e-03  9.0986818e-05
 -1.0551328e-03 -3.0116180e-03 -1.2499787e-03  6.2125194e-04
  2.5725001e-04 -3.4978657e-04 -2.8101045e-03 -1.7752960e-04
  1.5210771e-03 -3.1238934e-03 -2.5505822e-03  6.8546593e-04
 -2.1635303e-03 -5.8228723e-03  6.7243925e-03  1.7483663e-03
 -3.8010141e-04 -1.5355780e-03  3.3239711e-03  3.1337177e-03
  7.5655297e-04  1.7742865e-03 -4.9603898e-03  1.2757120e-03
  3.5601899e-03  6.2105450e-04 -1.8639732e-03 -3.7520519e-03]",0.000900495,2
617,Neil Jordan,20,106,277,383,Demi Moore,22000,10555348,Comedy|Crime,Robert De Niro,We're No Angels ,17349,24887,James Russo,0,con|convict|escape|police|priest,42,English,USA,PG-13,1989,2000,855,"[-1.2140827e-03 -2.9824718e-04 -2.8022143e-04  5.6639058e-04
  2.9908849e-03  2.6192912e-04  1.0687038e-03  1.1930405e-03
  1.5708704e-04  8.1808056e-04 -1.8767485e-03 -3.8815281e-04
  1.1244268e-03  2.2502009e-04 -8.2924619e-04  9.1836770e-04
  6.7834952e-04 -3.6407630e-05 -7.5462711e-04 -1.3661305e-04
 -5.0543918e-04  1.0523390e-04 -1.0285421e-03 -1.7815722e-03
  2.4715019e-04 -2.6359761e-03  5.9591775e-04 -1.6300472e-03
 -2.7864983e-03  7.5616903e-04  2.4348572e-04 -3.9305710e-04
  1.8822526e-03 -1.0929916e-03 -1.3802006e-06  7.9554465e-04
  9.9024945e-04  1.2454309e-04  5.8466097e-04 -1.3642010e-03
  1.4716801e-03 -3.4827357e-03  1.8636851e-03 -8.0908299e-04
 -2.7202113e-04 -1.5202160e-03 -2.6714501e-03  7.1184494e-04
 -5.8489910e-05  1.6627529e-04 -5.3317795e-05 -4.8148757e-04
  2.2745160e-03  1.7248831e-05  1.7456850e-04  1.1076789e-03
  1.2949108e-03 -1.5585214e-03 -5.0350680e-04  5.1969546e-04
 -5.2889372e-04  9.9207053e-04  7.4643455e-04  9.0366579e-04
  1.4551105e-04  1.3669600e-03 -1.6213852e-03 -8.7692164e-04
 -4.6780580e-04  1.5407220e-03 -1.2289848e-03 -7.7351666e-04
  1.5520499e-03  8.1655447e-04  1.1884101e-03 -1.8269363e-03
  3.3866739e-04  4.6869597e-04  9.1587426e-04  2.7896538e-03
 -5.3250912e-04  8.6887693e-04 -3.2934535e-04  1.5935612e-04
 -1.3326062e-03  4.1885767e-05  9.8553940e-04  1.9966463e-04
  8.8238943e-04  1.5348089e-03  6.6019282e-05  2.3049812e-03
  1.7326567e-03  1.2656607e-03 -1.7504258e-03  4.7846671e-04
  2.1080188e-03 -2.3509639e-03 -1.1625452e-03 -1.7834717e-03]",0.004877683,2
618,Jamie Blanks,101,99,9,648,Loretta Devine,975,38048637,Horror|Mystery|Thriller,Alicia Witt,Urban Legend ,47814,3500,Julian Richings,4,campus|death|friend|professor|urban legend,426,English,USA,R,1998,912,0,"[-1.3510701e-03 -1.5255916e-03  3.4150245e-04 -1.2743415e-03
 -5.4172846e-04 -1.2345116e-03  7.1916133e-05 -1.0770845e-03
 -1.4079956e-04  3.1797012e-04 -1.7035392e-04  4.6139440e-04
 -1.3379674e-04  1.1888451e-03 -6.3280604e-06 -1.3043443e-03
  8.4503042e-04  7.4776582e-04 -1.5502835e-03 -2.0004605e-04
 -4.1142222e-05 -8.5492589e-04 -9.6575252e-04  3.8072743e-04
 -2.9501185e-05 -2.8061918e-03  4.4922170e-04 -1.1483303e-03
  2.4629879e-04 -2.6926168e-04  1.4559292e-03 -1.1970877e-04
  3.8285891e-04 -1.7252832e-03  2.0771364e-03  2.5964060e-03
  9.1009995e-04 -1.1487012e-03  1.1755242e-03 -4.2965543e-04
  9.2666957e-04  1.4702062e-04 -3.1651574e-04  6.2532301e-05
  1.2652563e-03 -2.8091273e-03 -1.7122051e-04  4.5561665e-04
  9.6406619e-04  1.3307675e-03 -4.7850329e-04 -1.1128411e-03
  2.8785192e-03 -2.4552790e-03  6.2072807e-04 -2.3470385e-04
 -4.2159267e-04 -2.1803372e-03 -1.4031335e-03 -5.5913784e-04
  5.8918749e-04 -6.0995744e-04  1.0708714e-03 -8.0892158e-04
 -5.5225450e-04  3.5360007e-04  1.7542501e-03 -1.8721377e-03
  1.6983892e-03  1.4379120e-03  8.6376281e-04  5.6782574e-04
  9.2898647e-04  4.8006591e-04 -6.6670176e-04  7.8470955e-05
 -8.6854992e-04  3.6517426e-04 -3.2208380e-04  1.1328688e-03
  1.0771006e-03 -8.0257916e-05  2.7506085e-04  1.2494855e-03
  3.0265577e-04 -2.0123308e-03  1.6845042e-03  5.5082893e-04
  2.4159963e-04  1.0064848e-03  1.2574745e-03 -2.9738247e-04
 -7.1458606e-04  1.9332237e-03 -2.0497141e-03 -9.8638702e-06
 -9.9943287e-04 -9.8095799e-04  1.3280840e-04 -1.4631518e-03]",0.001500825,2
